simplified,level
思绪,old-6
燕子,new-7+
僵化,new-7+
凝视,old-6
迫害,new-7+
指点,new-7+
带动,new-3
火药,new-7+
皮球,new-6
绿化,new-6
捧场,new-7+
皇宫,new-7+
暴雨,new-6
要领,new-7+
通行证,new-7+
占线,old-5
矫正,new-7+
水产品,new-5
珍重,new-7+
若干,new-7+
同盟,new-7+
郊游,new-7+
纽带,new-7+
推辞,new-7+
春节,new-2
贴近,new-7+
看中,new-7+
只管,new-6
否决,new-7+
寥寥无几,new-7+
丢弃,new-7+
敬重,new-7+
不以为然,new-7+
郊外,new-7+
连滚带爬,new-7+
难堪,new-7+
名额,new-6
核能,new-7+
遗弃,new-7+
北边,new-1
参谋,new-7+
车型,new-7+
下台,new-7+
闭幕式,new-5
作废,new-6
水灾,new-5
兼任,new-7+
世代,new-7+
不得而知,new-7+
埋藏,new-7+
切割,new-7+
个头儿,new-7+
挑拨,old-6
师范,new-7+
忠心,new-6
调解,new-5
大名鼎鼎,new-7+
幻觉,new-7+
人品,new-7+
半岛,new-7+
成语,new-5
害虫,new-7+
就近,new-7+
陶瓷,new-7+
峰会,new-6
让步,new-7+
跳水,new-6
吃喝玩乐,new-7+
风范,new-7+
瓷器,new-7+
自负,new-7+
循序渐进,new-7+
采矿,new-7+
数额,new-7+
机灵,new-7+
裁缝,old-6
芝麻,new-7+
俗话,new-7+
预示,new-7+
捉迷藏,new-7+
复原,new-7+
长假,new-6
微波炉,new-6
有没有,new-6
高山,new-7+
放水,new-7+
压榨,old-6
华侨,new-7+
递交,new-7+
小气,new-7+
参军,new-7+
民歌,new-6
倔强,new-7+
宽恕,new-7+
劝阻,new-7+
正能量,new-7+
接纳,new-7+
说真的,new-7+
改为,new-7+
恩人,new-6
如愿以偿,new-7+
不免,new-5
盒饭,new-5
波折,new-7+
理睬,new-7+
埋没,new-7+
车号,new-6
凹凸,old-6
赔钱,new-7+
庄园,new-7+
重量级,new-7+
物证,new-7+
水域,new-7+
搬迁,new-7+
猎犬,new-7+
工艺品,new-5
取经,new-7+
骨干,new-7+
无关紧要,new-7+
少儿,new-6
斩草除根,new-7+
船桨,new-7+
合身,old-6
耳光,new-7+
年夜饭,new-7+
影迷,new-6
补给,new-7+
兼顾,new-7+
伺机,new-7+
操场,new-4
斗志,new-7+
电饭锅,new-5
私房钱,new-7+
垫子,new-7+
枢纽,new-7+
遮挡,old-6
轨迹,new-7+
挨家挨户,new-7+
通通,new-7+
风尚,new-7+
整治,new-6
索取,new-7+
海面,new-7+
路面,new-7+
罢免,new-7+
一卡通,new-7+
果园,new-7+
刑法,new-7+
寡妇,new-7+
风气,new-7+
微妙,new-7+
未知数,new-7+
普及,new-3
稀奇,new-7+
喜闻乐见,old-6
保质期,new-7+
起哄,old-6
失明,new-7+
主办,new-5
来年,new-7+
改邪归正,new-7+
老实说,new-7+
不屑,new-7+
标示,new-7+
妄想,new-7+
挂失,new-7+
回味,new-7+
评选,new-6
一目了然,new-7+
容光焕发,new-7+
见仁见智,new-7+
调和,old-6
兑换,new-7+
车轮,new-7+
勤俭,old-6
灌溉,new-7+
售价,new-7+
作客,new-7+
化解,new-6
招投标,old-6
豁达,new-7+
一事无成,new-7+
离奇,new-7+
庄重,old-6
渺小,new-7+
在职,new-7+
票房,new-7+
指南针,new-7+
谜语,new-7+
集资,new-7+
皇上,new-7+
腐化,new-7+
透彻,new-7+
阵营,new-7+
断定,new-7+
灵机一动,new-7+
中立,new-7+
打车,new-1
摔跤,new-7+
长征,new-7+
管辖,new-7+
欠缺,new-7+
轻型,new-7+
老化,new-7+
香肠,new-5
年画,new-7+
制订,new-4
谦逊,new-7+
耕地,new-7+
所属,new-7+
闹事,new-7+
交接,new-7+
空儿,new-3
禁忌,new-7+
法人,old-6
一路平安,new-2
起跑线,new-7+
抚恤,new-7+
退票,new-6
顺从,new-7+
油漆,old-6
退步,old-5
衰弱,new-7+
胶水,new-5
警钟,new-7+
上瘾,new-7+
低碳,new-7+
急诊,new-7+
豆制品,new-5
成千上万,new-7+
碧绿,new-7+
政党,new-6
残缺,new-7+
无缘,new-7+
屹立,new-7+
公职,new-7+
华语,new-5
拆迁,new-6
得益于,new-7+
随即,new-7+
槐树,new-7+
羞耻,old-6
清真,old-6
扑面而来,new-7+
势头,new-7+
了却,new-7+
排行榜,new-6
纽扣儿,old-6
省钱,new-6
一路顺风,new-2
棱角,new-7+
出洋相,new-7+
留恋,new-7+
好客,new-7+
舵手,new-7+
悬崖峭壁,old-6
不相上下,new-7+
通俗,new-7+
说白了,new-7+
家用,new-7+
每逢,new-7+
男孩儿,new-1
审批,new-7+
总额,new-7+
公示,new-7+
公交车,new-2
衬衣,new-3
藤椅,new-7+
重叠,new-7+
摇摆,new-7+
专制,new-7+
仙女,new-7+
唾沫,old-6
气色,old-6
爱护,new-4
手艺,new-7+
关照,new-7+
火山,new-7+
财物,new-7+
见义勇为,new-7+
一举,new-7+
烟火,new-7+
骇人听闻,new-7+
地质,new-7+
陆续,new-4
皇室,new-7+
管教,new-7+
可信,new-7+
蚊帐,new-7+
星期日,new-1
上调,new-7+
皮带,new-7+
特邀,new-7+
梳子,new-7+
世袭,new-7+
趋于,new-7+
节水,new-7+
冲洗,new-7+
齐心协力,new-7+
皮包,new-3
常务,old-6
药材,new-7+
狭小,new-7+
雇主,new-7+
整数,new-7+
辛勤,new-7+
字幕,new-7+
谋害,new-7+
快捷,new-7+
厂长,new-5
乔装,new-7+
趁早,new-7+
荣获,new-7+
国有,new-7+
杂乱无章,new-7+
垂头丧气,new-7+
泥潭,new-7+
查获,old-6
柿子,new-7+
打通,new-7+
插嘴,new-7+
就读,new-7+
发抖,new-7+
似是而非,new-7+
墨水,new-6
走近,new-7+
斑点,new-7+
教学楼,new-1
毫升,new-4
暖烘烘,new-7+
噪声,new-7+
记忆犹新,new-7+
微弱,new-7+
汤圆,new-7+
瓜子,new-7+
横七竖八,new-7+
运动会,new-4
民意,new-6
首次,new-6
相当于,new-7+
简陋,new-7+
画蛇添足,new-7+
请柬,new-7+
培育,new-4
风力,new-7+
打针,new-4
近日,new-6
女孩儿,new-1
事态,new-7+
宏伟,new-7+
开机,new-2
退回,new-7+
核桃,new-7+
保鲜,new-7+
真是的,new-7+
统筹,new-7+
听写,new-1
宣誓,new-7+
宽厚,new-7+
坦诚,new-7+
周旋,new-7+
驻扎,old-6
勤恳,old-6
热泪盈眶,old-6
避难,new-7+
旷课,new-7+
微信,new-4
盘算,new-7+
胚胎,new-7+
海浪,new-6
官吏,new-7+
萍水相逢,new-7+
一路上,new-6
小偷儿,new-5
松弛,new-7+
亭子,old-6
开发商,new-7+
荡漾,new-7+
邮政,new-7+
同伙,new-7+
宽广,new-4
征集,new-7+
效仿,new-7+
展览会,new-7+
不怎么样,new-6
前仰后合,new-7+
治学,new-7+
口语,new-4
宝藏,new-7+
果树,new-6
合唱,new-7+
对弈,new-7+
省略,new-7+
溶解,new-7+
合伙,new-7+
苦尽甘来,old-6
媳妇,new-7+
温习,new-7+
和气,new-7+
猖狂,new-7+
国学,new-7+
骏马,new-7+
特制,new-7+
悲痛,new-7+
人行道,new-7+
对联,new-7+
宽敞,new-7+
补考,new-6
脱落,new-7+
暖气,new-4
台球,new-7+
寒假,new-4
四季,new-7+
大奖赛,new-5
贪污,new-7+
上限,new-7+
母语,old-6
国庆节,old-5
率先,new-4
淀粉,new-7+
浓重,new-7+
积淀,new-7+
索赔,new-7+
本着,new-7+
桃花,new-5
看管,new-6
柔和,new-7+
零星,old-6
炉灶,new-7+
瞧不起,new-7+
膳食,new-7+
满怀,new-7+
脸颊,new-7+
抵触,new-7+
有效期,new-7+
答辩,new-7+
奥秘,new-7+
单调,new-4
化身,new-7+
不同寻常,new-7+
触觉,new-7+
界定,new-7+
灾害,new-5
名胜,new-6
韧性,new-7+
差额,new-7+
反射,old-6
国歌,new-6
躲藏,new-7+
津津有味,new-7+
送礼,new-6
出厂,new-7+
错位,new-7+
人次,new-7+
唠叨,new-7+
奋勇,new-7+
管理费,new-7+
形形色色,new-7+
无忧无虑,new-7+
荒凉,new-7+
外行,new-7+
僵局,new-7+
虔诚,new-7+
橡皮,new-7+
与其,new-7+
互访,new-7+
恩怨,new-7+
拍戏,new-7+
招生,new-5
伤残,new-7+
王牌,new-7+
主页,new-7+
灾区,new-5
黑手,new-7+
愚昧,old-6
订购,new-7+
百合,new-7+
输血,new-7+
四肢,old-6
生活费,new-6
哪知道,new-7+
没意思,new-7+
发怒,new-6
乌云,new-6
填空,new-4
口子,new-7+
热腾腾,new-7+
不如说,new-7+
花瓣,new-7+
调皮,new-4
听从,new-7+
可歌可泣,new-7+
新陈代谢,new-7+
矿藏,new-7+
叫板,new-7+
水手,new-7+
协议书,new-5
先锋,new-6
刺耳,new-7+
专程,new-7+
不懈,new-7+
委屈,new-7+
客流,new-7+
大公无私,new-7+
墨水儿,old-6
提倡,new-5
开办,new-7+
两口子,new-7+
疏导,new-7+
胡同儿,new-5
犯愁,new-7+
发炎,new-6
壁画,new-7+
误差,new-7+
干事,new-7+
本期,new-6
酣畅,new-7+
陪葬,new-7+
扎实,new-6
悲观,new-7+
倒卖,new-7+
积蓄,new-7+
游戏机,new-6
飙升,new-7+
桥梁,new-6
假冒,new-7+
短信,new-2
倒塌,new-7+
重心,new-7+
乖巧,new-7+
挑剔,new-7+
碰见,new-2
鹏程万里,new-7+
路况,new-7+
树枝,new-7+
侵占,new-7+
廉政,new-7+
沽名钓誉,new-7+
